Extension,Force
0,0.375
0.008,0.5
0.016,0.5
0.024,0.625
0.032,0.75
0.04,0.75
0.048,0.875
0.056,1
0.064,1
0.072,1.125
0.08,1.25
0.088,1.25
0.096,1.375
0.104,1.5
0.112,1.5
0.12,1.625
0.128,1.625
0.136,1.625
0.144,1.75
0.152,1.75
0.16,1.75
0.168,1.75
0.176,1.75
0.184,1.75
0.192,1.75
0.2,1.75
0.208,1.75
0.216,1.75
0.224,1.75
0.232,1.75
0.24,1.75
0.248,1.75
0.256,1.75
0.264,1.75
0.272,1.75
0.28,1.75
0.288,1.875
0.296,1.875
0.304,1.875
0.312,1.875
0.32,2
0.328,2
0.336,2.125
0.344,2.125
0.352,2.25
0.36,2.25
0.368,2.25
0.376,2.25
0.384,2.375
0.392,2.375
0.4,2.375
0.408,2.375
0.416,2.375
0.424,2.5
0.432,2.5
0.44,2.5
0.448,2.5
0.456,2.5
0.464,2.625
0.472,2.625
0.48,2.625
0.488,2.625
0.496,2.625
0.504,2.625
0.512,2.625
0.52,2.75
0.528,2.75
0.536,2.75
0.544,2.75
0.552,2.875
0.56,3
0.568,3
0.576,3.125
0.584,3.25
0.592,3.5
0.6,3.625
0.608,3.75
0.616,4
0.624,4.25
0.632,4.5
0.64,4.625
0.648,5
0.656,5.375
0.664,5.5
0.672,5.5
0.68,5.625
0.688,5.875
0.696,6
0.704,6
0.712,6
0.72,6.125
0.728,5.125
0.736,4
0.744,3
0.752,2
0.76,2.125
0.768,2.125
0.776,2.125
0.784,2.125
0.792,2.25
0.8,2.25
0.808,2.25
0.816,2.25
0.824,2.25
0.832,2.25
0.84,2.25
0.848,2.25
0.856,2.25
0.864,2.25
0.872,2.25
0.88,2.25
0.888,2.25
0.896,2.25
0.904,2.375
0.912,2.375
0.92,2.375
0.928,2.375
0.936,2.375
0.944,2.375
0.952,2.5
0.96,2.75
0.968,3
0.976,3.125
0.984,3.25
0.992,3.375
1,3.5
1.008,4
1.016,4.25
1.024,4.5
1.032,4.75
1.04,5
1.048,5.5
1.056,5.625
1.064,5.875
1.072,6
1.08,6.375
1.088,6.75
1.096,6.875
1.104,7.125
1.112,7.25
1.12,7.875
1.128,8.25
1.136,8.5
1.144,8.625
1.152,8.875
1.16,9
1.168,9.25
1.176,9.375
1.184,9.5
1.192,9.75
1.2,9.75
1.208,9.875
1.216,9.875
1.224,10
1.232,10
1.24,10
1.248,10
1.256,10
1.264,10
1.272,10.125
1.28,10.25
1.288,11
1.296,11.375
1.304,11.875
1.312,12.25
1.32,12.875
1.328,13.5
1.336,14.25
1.344,14.875
1.352,12.375
1.36,11.25
1.368,10.25
1.376,11.625
1.384,12.125
1.392,12.625
1.4,13.125
1.408,14.75
1.416,15.375
1.424,15.875
1.432,16.5
1.44,18.5
1.448,19.5
1.456,20.5
1.464,21.5
1.472,22.5
1.48,23.5
1.488,24.5
1.496,25.125
1.504,25.75
1.512,26.375
1.52,28.375
1.528,30.375
1.536,31.125
1.544,31.875
1.552,32.625
1.56,35
1.568,35.875
1.576,36.625
1.584,37.5
1.592,38.75
1.6,40
1.608,42.625
1.616,43.875
1.624,45.25
1.632,46.5
1.64,47.75
1.648,48.5
1.656,49.375
1.664,50.125
1.672,52.25
1.68,53.375
1.688,54.5
1.696,57
1.704,57.875
1.712,58.75
1.72,59.625
1.728,62.375
1.736,63.25
1.744,64.125
1.752,65
1.76,66.25
1.768,67.625
1.776,69
1.784,70.25
1.792,71.625
1.8,73
1.808,75.5
1.816,76.75
1.824,77.875
1.832,79.125
1.84,80.375
1.848,81.75
1.856,83
1.864,84.25
1.872,85.625
1.88,87
1.888,88.25
1.896,89.5
1.904,90.75
1.912,92
1.92,93.125
1.928,94.125
1.936,95.25
1.944,96.25
1.952,97.25
1.96,98
1.968,98.75
1.976,99.375
1.984,100
1.992,100.5
2,101.125
2.008,101.5
2.016,101.75
2.024,102.125
2.032,102.5
2.04,102.625
2.048,102.625
2.056,102.5
2.064,102.5
2.072,102.25
2.08,101.875
2.088,101.625
2.096,101.375
2.104,101.125
2.112,100.875
2.12,100.625
2.128,100.375
2.136,100.25
2.144,100
2.152,99.875
2.16,99.75
2.168,99.25
2.176,99
2.184,98.875
2.192,98.625
2.2,98.5
2.208,98.375
2.216,98.75
2.224,99.25
2.232,100
2.24,100.875
2.248,101.875
2.256,102.875
2.264,104
2.272,105.125
2.28,106.25
2.288,107.375
2.296,108.375
2.304,109.375
2.312,110.25
2.32,111.25
2.328,112.875
2.336,113.125
2.344,113.25
2.352,113.5
2.36,112.5
2.368,111.625
2.376,107.875
2.384,104.125
2.392,97.75
2.4,91.375
2.408,85.625
2.416,79.875
2.424,77
2.432,74
2.44,71.125
2.448,68.25
2.456,66.875
2.464,65.5
2.472,64.5
2.48,63.375
2.488,61.875
2.496,61.625
2.504,61.5
2.512,61.25
2.52,61.625
2.528,61.875
2.536,62.125
2.544,62.375
2.552,62.75
2.56,63.25
2.568,64.125
2.576,64.5
2.584,64.875
2.592,65.25
2.6,65.625
2.608,65.875
2.616,66
2.624,66.25
2.632,66.875
2.64,67.625
2.648,68.125
2.656,68.625
2.664,69
2.672,69.5
2.68,69.875
2.688,71.25
2.696,71.625
2.704,72
2.712,72.375
2.72,73.5
2.728,73.875
2.736,74.25
2.744,74.5
2.752,74.875
2.76,75.25
2.768,75.75
2.776,76
2.784,76.25
2.792,76.625
2.8,77
2.808,77.5
2.816,77.625
2.824,77.75
2.832,77.875
2.84,78.25
2.848,78.375
2.856,78.625
2.864,78.75
2.872,79
2.88,79.25
2.888,79.5
2.896,79.75
2.904,79.875
2.912,80.125
2.92,80.375
2.928,80.625
2.936,80.75
2.944,80.75
2.952,80.875
2.96,81
2.968,81
2.976,81.125
2.984,81.125
2.992,81.25
3,81.25
3.008,81.375
3.016,81.375
3.024,81.375
3.032,81.375
3.04,81.375
3.048,81.25
3.056,81.25
3.064,81.25
3.072,81.125
3.08,81
3.088,81
3.096,80.75
3.104,80.625
3.112,80.5
3.12,80.25
3.128,79.75
3.136,79.625
3.144,79.375
3.152,79.25
3.16,79
3.168,78.75
3.176,78.5
3.184,78.125
3.192,77.625
3.2,77.125
3.208,76.625
3.216,76.375
3.224,76.125
3.232,75.875
3.24,75
3.248,74.75
3.256,74.375
3.264,74.125
3.272,73
3.28,72.375
3.288,71.75
3.296,70.375
3.304,69.875
3.312,69.5
3.32,69
3.328,68.5
3.336,67.875
3.344,67.375
3.352,66.375
3.36,65.5
3.368,64.5
3.376,63.125
3.384,62.375
3.392,61.625
3.4,60.875
3.408,60.125
3.416,59.25
3.424,58.5
3.432,57.75
3.44,57
3.448,56.25
3.456,55.5
3.464,54.75
3.472,54.125
3.48,53.5
3.488,52.875
3.496,52.25
3.504,51.75
3.512,51.25
3.52,50.625
3.528,49.5
3.536,49.25
3.544,48.875
3.552,48.625
3.56,47.875
3.568,47.625
3.576,47.375
3.584,47.125
3.592,46.125
3.6,45.5
3.608,45
3.616,43.625
3.624,43.125
3.632,42.75
3.64,42.25
3.648,41.75
3.656,41.25
3.664,40.875
3.672,40.375
3.68,40
3.688,39.75
3.696,39.625
3.704,39.5
3.712,39.5
3.72,39.5
3.728,39.375
3.736,39.25
3.744,39.25
3.752,39.25
