Curve,Extension,Force
1,0,0.3
1,0.01,0.3
1,0.02,0.3
1,0.03,0.3
1,0.04,0.3
1,0.05,0.3
1,0.06,0.3
1,0.07,0.3
1,0.08,0.3
1,0.09,0.3
1,0.1,0.3
1,0.11,0.3
1,0.12,0.3
1,0.13,0.35
1,0.14,0.3
1,0.15,0.3
1,0.16,0.3
1,0.17,0.3
1,0.18,0.3
1,0.19,0.3
1,0.2,0.3
1,0.21,0.3
1,0.22,0.3
1,0.23,0.3
1,0.24,0.3
1,0.25,0.3
1,0.26,0.3
1,0.27,0.3
1,0.28,0.3
1,0.29,0.35
1,0.3,0.3
1,0.31,0.3
1,0.32,0.3
1,0.33,0.3
1,0.34,0.3
1,0.35,0.3
1,0.36,0.3
1,0.37,0.3
1,0.38,0.3
1,0.39,0.3
1,0.4,0.3
1,0.41,0.3
1,0.42,0.3
1,0.43,0.3
1,0.44,0.3
1,0.45,0.3
1,0.46,0.3
1,0.47,0.3
1,0.48,0.3
1,0.49,0.3
1,0.5,0.4
1,0.51,0.6
1,0.52,0.95
1,0.53,1.05
1,0.54,1.15
1,0.55,1.2
1,0.56,1.3
1,0.57,1.45
1,0.58,1.5
1,0.59,1.65
1,0.6,1.7
1,0.61,1.8
1,0.62,2
1,0.63,2.05
1,0.64,2.1
1,0.65,2.15
1,0.66,2.2
1,0.67,2.3
1,0.68,2.3
1,0.69,2.35
1,0.7,2.4
1,0.71,2.5
1,0.72,2.55
1,0.73,2.6
1,0.74,2.6
1,0.75,2.65
1,0.76,2.65
1,0.77,2.65
1,0.78,2.65
1,0.79,2.65
1,0.8,2.65
1,0.81,2.7
1,0.82,2.65
1,0.83,2.6
1,0.84,2.6
1,0.85,2.6
1,0.86,2.6
1,0.87,2.65
1,0.88,2.7
1,0.89,2.7
1,0.9,2.7
1,0.91,2.7
1,0.92,2.7
1,0.93,2.7
1,0.94,2.7
1,0.95,2.7
1,0.96,2.65
1,0.97,2.6
1,0.98,2.65
1,0.99,2.65
1,1,2.65
1,1.01,2.65
1,1.02,2.65
1,1.03,2.65
1,1.04,2.7
1,1.05,2.7
1,1.06,2.7
1,1.07,2.7
1,1.08,2.65
1,1.09,2.65
1,1.1,2.7
1,1.11,2.7
1,1.12,2.65
1,1.13,2.65
1,1.14,2.65
1,1.15,2.65
1,1.16,2.65
1,1.17,2.65
1,1.18,2.65
1,1.19,2.7
1,1.2,2.7
1,1.21,2.7
1,1.22,2.7
1,1.23,2.7
1,1.24,2.7
1,1.25,2.7
1,1.26,2.7
1,1.27,2.7
1,1.28,2.7
1,1.29,2.7
1,1.3,2.7
1,1.31,2.7
1,1.32,2.7
1,1.33,2.7
1,1.34,2.7
1,1.35,2.7
1,1.36,2.7
1,1.37,2.7
1,1.38,2.7
1,1.39,2.7
1,1.4,2.7
1,1.41,2.7
1,1.42,2.7
1,1.43,2.7
1,1.44,2.7
1,1.45,2.7
1,1.46,2.7
1,1.47,2.7
1,1.48,2.75
1,1.49,2.75
1,1.5,2.75
1,1.51,2.75
1,1.52,2.75
1,1.53,2.7
1,1.54,2.7
1,1.55,2.7
1,1.56,2.7
1,1.57,2.7
1,1.58,2.7
1,1.59,2.7
1,1.6,2.7
1,1.61,2.7
1,1.62,2.7
1,1.63,2.7
1,1.64,2.75
1,1.65,2.8
1,1.66,2.8
1,1.67,2.8
1,1.68,2.8
1,1.69,2.8
1,1.7,2.75
1,1.71,2.75
1,1.72,2.8
1,1.73,2.8
1,1.74,2.8
1,1.75,2.8
1,1.76,2.75
1,1.77,2.75
1,1.78,2.8
1,1.79,2.8
1,1.8,2.8
1,1.81,2.8
1,1.82,2.8
1,1.83,2.75
1,1.84,2.75
1,1.85,2.75
1,1.86,2.75
1,1.87,2.75
1,1.88,2.75
1,1.89,2.75
1,1.9,2.75
1,1.91,2.8
1,1.92,2.75
1,1.93,2.75
1,1.94,2.8
1,1.95,2.8
1,1.96,2.8
1,1.97,2.8
1,1.98,2.8
1,1.99,2.8
1,2,2.8
1,2.01,2.8
1,2.02,2.75
1,2.03,2.75
1,2.04,2.8
1,2.05,2.8
1,2.06,2.85
1,2.07,2.8
1,2.08,2.8
1,2.09,2.75
1,2.1,2.8
1,2.11,2.8
1,2.12,2.8
1,2.13,2.8
1,2.14,2.8
1,2.15,2.85
1,2.16,2.8
1,2.17,2.8
1,2.18,2.8
1,2.19,2.8
1,2.2,2.8
1,2.21,2.8
1,2.22,2.8
1,2.23,2.8
1,2.24,2.85
1,2.25,2.85
1,2.26,2.9
1,2.27,2.85
1,2.28,2.8
1,2.29,2.8
1,2.3,2.8
1,2.31,2.85
1,2.32,2.85
1,2.33,2.85
1,2.34,2.9
1,2.35,2.9
1,2.36,2.9
1,2.37,2.9
1,2.38,2.9
1,2.39,2.9
1,2.4,2.9
1,2.41,2.9
1,2.42,3
1,2.43,3.1
1,2.44,3.35
1,2.45,3.5
1,2.46,3.7
1,2.47,3.8
1,2.48,4.05
1,2.49,4.15
1,2.5,4.3
1,2.51,4.45
1,2.52,4.6
1,2.53,4.9
1,2.54,5.1
1,2.55,5.15
1,2.56,5.25
1,2.57,5.6
1,2.58,5.8
1,2.59,6.05
1,2.6,6.6
1,2.61,6.9
1,2.62,7.4
1,2.63,7.65
1,2.64,7.9
1,2.65,8.45
1,2.66,8.7
1,2.67,9.2
1,2.68,9.65
1,2.69,9.85
1,2.7,10.2
1,2.71,10.45
1,2.72,10.7
1,2.73,10.9
1,2.74,11.15
1,2.75,11.6
1,2.76,11.8
1,2.77,12.1
1,2.78,12.3
1,2.79,12.5
1,2.8,12.65
1,2.81,12.8
1,2.82,12.9
1,2.83,13
1,2.84,13.1
1,2.85,13.1
1,2.86,13.15
1,2.87,13.2
1,2.88,13.3
1,2.89,13.4
1,2.9,13.7
1,2.91,13.8
1,2.92,13.9
1,2.93,14.1
1,2.94,14.2
1,2.95,14.3
1,2.96,14.45
1,2.97,14.6
1,2.98,14.65
1,2.99,14.65
1,3,14.7
1,3.01,14.7
1,3.02,14.65
1,3.03,14.5
1,3.04,12.15
1,3.05,11.4
1,3.06,10.6
1,3.07,10.85
1,3.08,11.05
1,3.09,11.4
1,3.1,10.7
1,3.11,12
1,3.12,7.4
1,3.13,4.55
1,3.14,4.35
1,3.15,4.05
1,3.16,4.2
1,3.17,4.2
1,3.18,4.15
1,3.19,4.2
1,3.2,4.25
1,3.21,4.3
1,3.22,4.3
1,3.23,4.3
1,3.24,4.3
1,3.25,4.25
1,3.26,4.25
1,3.27,4.3
1,3.28,4.3
1,3.29,4.3
1,3.3,4.3
1,3.31,4.3
1,3.32,4.3
1,3.33,4.3
1,3.34,4.35
1,3.35,4.35
1,3.36,4.35
1,3.37,4.35
1,3.38,4.35
1,3.39,4.35
1,3.4,4.35
1,3.41,4.35
1,3.42,4.35
