Curve,Extension,Force
1,0,0.7
1,0.0075,0.8
1,0.015,0.8
1,0.0225,0.8
1,0.03,0.9
1,0.0375,1
1,0.045,1
1,0.0525,1
1,0.06,1.1
1,0.0675,1.2
1,0.075,1.2
1,0.0825,1.2
1,0.09,1.3
1,0.0975,1.4
1,0.105,1.4
1,0.1125,1.4
1,0.12,1.5
1,0.1275,1.5
1,0.135,1.6
1,0.1425,1.6
1,0.15,1.7
1,0.1575,1.7
1,0.165,1.8
1,0.1725,1.8
1,0.18,1.8
1,0.1875,1.8
1,0.195,1.8
1,0.2025,1.9
1,0.21,1.9
1,0.2175,1.9
1,0.225,1.9
1,0.2325,1.9
1,0.24,1.9
1,0.2475,1.9
1,0.255,1.9
1,0.2625,1.9
1,0.27,1.9
1,0.2775,1.9
1,0.285,2
1,0.2925,2
1,0.3,2.1
1,0.3075,2.2
1,0.315,2.2
1,0.3225,2.2
1,0.33,2.3
1,0.3375,2.3
1,0.345,2.3
1,0.3525,2.3
1,0.36,2.3
1,0.3675,2.3
1,0.375,2.3
1,0.3825,2.3
1,0.39,2.3
1,0.3975,2.3
1,0.405,2.3
1,0.4125,2.3
1,0.42,2.3
1,0.4275,2.3
1,0.435,2.3
1,0.4425,2.3
1,0.45,2.3
1,0.4575,2.4
1,0.465,2.4
1,0.4725,2.4
1,0.48,2.4
1,0.4875,2.4
1,0.495,2.4
1,0.5025,2.5
1,0.51,2.5
1,0.5175,2.5
1,0.525,2.6
1,0.5325,2.6
1,0.54,2.6
1,0.5475,2.9
1,0.555,3
1,0.5625,3.1
1,0.57,3.2
1,0.5775,3.2
1,0.585,3.1
1,0.5925,3
1,0.6,2.9
1,0.6075,2.8
1,0.615,2.8
1,0.6225,2.8
1,0.63,2.8
1,0.6375,2.7
1,0.645,2.6
1,0.6525,2.5
1,0.66,2.5
1,0.6675,2.5
1,0.675,2.4
1,0.6825,2.4
1,0.69,2.4
1,0.6975,2.4
1,0.705,2.3
1,0.7125,2.3
1,0.72,2.3
1,0.7275,2.3
1,0.735,2.3
1,0.7425,2.3
1,0.75,2.3
1,0.7575,2.3
1,0.765,2.3
1,0.7725,2.3
1,0.78,2.3
1,0.7875,2.3
1,0.795,2.3
1,0.8025,2.3
1,0.81,2.3
1,0.8175,2.3
1,0.825,2.3
1,0.8325,2.3
1,0.84,2.3
1,0.8475,2.3
1,0.855,2.3
1,0.8625,2.3
1,0.87,2.3
1,0.8775,2.3
1,0.885,2.3
1,0.8925,2.3
1,0.9,2.3
1,0.9075,2.3
1,0.915,2.4
1,0.9225,2.4
1,0.93,2.4
1,0.9375,2.4
1,0.945,2.4
1,0.9525,2.5
1,0.96,2.5
1,0.9675,2.5
1,0.975,2.6
1,0.9825,2.6
1,0.99,2.6
1,0.9975,2.6
1,1.005,2.7
1,1.0125,2.8
1,1.02,3
1,1.0275,3.2
1,1.035,3.4
1,1.0425,3.6
1,1.05,4
1,1.0575,4.2
1,1.065,4.3
1,1.0725,4.5
1,1.08,5
1,1.0875,5.2
1,1.095,5.3
1,1.1025,5.5
1,1.11,6.1
1,1.1175,6.4
1,1.125,6.6
1,1.1325,6.9
1,1.14,7.7
1,1.1475,7.9
1,1.155,8.2
1,1.1625,8.4
1,1.17,8.6
1,1.1775,8.8
1,1.185,9
1,1.1925,9.2
1,1.2,9.3
1,1.2075,9.4
1,1.215,9.5
1,1.2225,9.5
1,1.23,9.6
1,1.2375,9.8
1,1.245,9.8
1,1.2525,9.9
1,1.26,9.9
1,1.2675,9.9
1,1.275,9.9
1,1.2825,9.9
1,1.29,10
1,1.2975,10.1
1,1.305,10.2
1,1.3125,10.3
1,1.32,10.9
1,1.3275,11.4
1,1.335,12
1,1.3425,12.6
1,1.35,14.2
1,1.3575,14.7
1,1.365,15.3
1,1.3725,15.8
1,1.38,17.4
1,1.3875,18
1,1.395,18.6
1,1.4025,19.2
1,1.41,21.2
1,1.4175,21.9
1,1.425,22.5
1,1.4325,23.2
1,1.44,24.2
1,1.4475,25.2
1,1.455,26.2
1,1.4625,27.3
1,1.47,28.3
1,1.4775,29.2
1,1.485,30.2
1,1.4925,31.2
1,1.5,28.4
1,1.5075,27.8
1,1.515,27.2
1,1.5225,26.6
1,1.53,29.2
1,1.5375,30
1,1.545,30.7
1,1.5525,31.5
1,1.56,33
1,1.5675,34.4
1,1.575,35.8
1,1.5825,37.1
1,1.59,38.4
1,1.5975,39.8
1,1.605,41.1
1,1.6125,42.4
1,1.62,43.6
1,1.6275,44.9
1,1.635,46.2
1,1.6425,47.4
1,1.65,48.5
1,1.6575,49.6
1,1.665,50.6
1,1.6725,51.6
1,1.68,52.6
1,1.6875,53.7
1,1.695,54.8
1,1.7025,55.8
1,1.71,57
1,1.7175,58.1
1,1.725,59.2
1,1.7325,60.4
1,1.74,61.5
1,1.7475,62.6
1,1.755,63.3
1,1.7625,64.1
1,1.77,64.8
1,1.7775,65.8
1,1.785,66.8
1,1.7925,67.7
1,1.8,68.7
1,1.8075,70.3
1,1.815,71
1,1.8225,71.6
1,1.83,72.3
1,1.8375,73
1,1.845,73.4
1,1.8525,73.9
1,1.86,74.3
1,1.8675,75.5
1,1.875,75.8
1,1.8825,76.1
1,1.89,76.4
1,1.8975,77.2
1,1.905,77.4
1,1.9125,77.5
1,1.92,77.7
1,1.9275,78
1,1.935,78.2
1,1.9425,78.4
1,1.95,78.7
1,1.9575,79.1
1,1.965,79.2
1,1.9725,79.4
1,1.98,79.5
1,1.9875,79.8
1,1.995,79.9
1,2.0025,79.9
1,2.01,80
1,2.0175,80.2
1,2.025,80.3
1,2.0325,80.4
1,2.04,80.5
1,2.0475,80.6
1,2.055,80.7
1,2.0625,80.8
1,2.07,81
1,2.0775,81
1,2.085,81.1
1,2.0925,81.2
1,2.1,81.2
1,2.1075,81.2
1,2.115,81.2
1,2.1225,81.2
1,2.13,81.3
1,2.1375,81.5
1,2.145,81.5
1,2.1525,81.6
1,2.16,81.6
1,2.1675,81.6
1,2.175,81.6
1,2.1825,81.6
1,2.19,81.7
1,2.1975,81.8
1,2.205,82
1,2.2125,82.1
1,2.22,82.4
1,2.2275,81.2
1,2.235,80.1
1,2.2425,78.9
1,2.25,77.8
1,2.2575,76.6
1,2.265,73.8
1,2.2725,71.1
1,2.28,68
1,2.2875,67.4
1,2.295,66.8
1,2.3025,66.2
1,2.31,65.1
1,2.3175,64.8
1,2.325,64.5
1,2.3325,64.2
1,2.34,63.2
1,2.3475,62.9
1,2.355,62.6
1,2.3625,62.3
1,2.37,61.8
1,2.3775,61.4
1,2.385,61.2
1,2.3925,61
1,2.4,60.7
1,2.4075,60.5
1,2.415,60.4
1,2.4225,60.3
1,2.43,60.2
1,2.4375,60.2
1,2.445,60.2
1,2.4525,60.2
1,2.46,60.2
1,2.4675,60.2
1,2.475,60.1
