Curve,Extension,Force
1,0,0.4
1,0.01,0.4
1,0.02,0.6
1,0.03,0.8
1,0.04,0.8
1,0.05,0.8
1,0.06,1
1,0.07,1.2
1,0.08,1.6
1,0.09,2
1,0.1,2.6
1,0.11,3.6
1,0.12,4.8
1,0.13,5.6
1,0.14,6.4
1,0.15,7.8
1,0.16,8.4
1,0.17,9.2
1,0.18,10.4
1,0.19,10.8
1,0.2,11
1,0.21,11
1,0.22,11
1,0.23,11.6
1,0.24,12.4
1,0.25,13
1,0.26,14.2
1,0.27,14.8
1,0.28,15.4
1,0.29,16.4
1,0.3,17.4
1,0.31,18
1,0.32,18.8
1,0.33,20.4
1,0.34,21.2
1,0.35,22
1,0.36,23.6
1,0.37,24.6
1,0.38,25.6
1,0.39,26.6
1,0.4,27.8
1,0.41,28.4
1,0.42,29.2
1,0.43,30.8
1,0.44,32.4
1,0.45,33.2
1,0.46,33.8
1,0.47,27.4
1,0.48,19.2
1,0.49,11.2
1,0.5,2
1,0.51,2.6
1,0.52,3.2
1,0.53,3.8
1,0.54,4.2
1,0.55,4.4
1,0.56,4.6
1,0.57,5
1,0.58,5.6
1,0.59,5.8
1,0.6,6
1,0.61,6.2
1,0.62,6.2
1,0.63,6.2
1,0.64,6.2
1,0.65,6
1,0.66,6
1,0.67,6.2
1,0.68,6.4
1,0.69,6.4
1,0.7,6.4
1,0.71,6.6
1,0.72,6.8
1,0.73,7
1,0.74,7.6
1,0.75,8
1,0.76,8.2
1,0.77,9
1,0.78,9.6
1,0.79,10.4
1,0.8,11
1,0.81,12
1,0.82,13.4
1,0.83,14.2
1,0.84,15
1,0.85,17
1,0.86,18
1,0.87,18.8
1,0.88,20.8
1,0.89,23
1,0.9,24.2
1,0.91,25.4
1,0.92,27
1,0.93,28.8
1,0.94,30.4
1,0.95,32.8
1,0.96,35
1,0.97,36.2
1,0.98,37.4
1,0.99,39.6
1,1,40.8
1,1.01,42
1,1.02,44.2
1,1.03,46.4
1,1.04,47.6
1,1.05,48.8
1,1.06,50.4
1,1.07,51.8
1,1.08,53.4
1,1.09,56
1,1.1,58.2
1,1.11,59.4
1,1.12,60.6
1,1.13,63
1,1.14,64.2
1,1.15,65.4
1,1.16,68
1,1.17,70.4
1,1.18,71.6
1,1.19,73
1,1.2,74.8
1,1.21,76.4
1,1.22,78.2
1,1.23,80.6
1,1.24,83
1,1.25,84.4
1,1.26,85.6
1,1.27,88
1,1.28,89.4
1,1.29,90.8
1,1.3,93.6
1,1.31,95.2
1,1.32,96.6
1,1.33,99.6
1,1.34,101.6
1,1.35,103.4
1,1.36,105.4
1,1.37,106.8
1,1.38,108.2
1,1.39,110.6
1,1.4,113
1,1.41,114.4
1,1.42,115.6
1,1.43,118.2
1,1.44,119.6
1,1.45,120.8
1,1.46,123.4
1,1.47,124.8
1,1.48,126
1,1.49,127.8
1,1.5,129.4
1,1.51,131.2
1,1.52,133.6
1,1.53,134.8
1,1.54,135.8
1,1.55,138.2
1,1.56,140.6
1,1.57,141.6
1,1.58,142.8
1,1.59,144
1,1.6,145.4
1,1.61,147.8
1,1.62,148.8
1,1.63,150
1,1.64,151.4
1,1.65,153
1,1.66,154.4
1,1.67,156.4
1,1.68,158.2
1,1.69,159.2
1,1.7,160
1,1.71,162
1,1.72,162.8
1,1.73,163.8
1,1.74,165.8
1,1.75,166.8
1,1.76,167.6
1,1.77,169.2
1,1.78,170
1,1.79,170.6
1,1.8,171.4
1,1.81,171.6
1,1.82,172
1,1.83,172.2
1,1.84,172.2
1,1.85,172
1,1.86,171.8
1,1.87,171.6
1,1.88,171.2
1,1.89,170.4
1,1.9,170.4
1,1.91,170.2
1,1.92,170.4
1,1.93,170.8
1,1.94,171.4
1,1.95,171.8
1,1.96,172.4
1,1.97,172.6
1,1.98,172.8
1,1.99,172.8
1,2,172.4
1,2.01,172.2
1,2.02,170.8
1,2.03,169.2
1,2.04,167.8
1,2.05,157.6
1,2.06,146.4
1,2.07,135.4
1,2.08,128
1,2.09,120.4
1,2.1,113
1,2.11,115.4
