Curve,Extension,Force
1,0,0.6
1,0.02,2.8
1,0.04,5.2
1,0.06,7.4
1,0.08,9.6
1,0.1,12
1,0.12,14.2
1,0.14,16.6
1,0.16,18.8
1,0.18,20
1,0.2,22.6
1,0.22,24
1,0.24,25.4
1,0.26,26.6
1,0.28,29.2
1,0.3,30.4
1,0.32,31.6
1,0.34,32.8
1,0.36,35.2
1,0.38,36.8
1,0.4,38.2
1,0.42,39.2
1,0.44,40.2
1,0.46,41.4
1,0.48,43.8
1,0.5,44.8
1,0.52,46
1,0.54,47.2
1,0.56,48.6
1,0.58,49.2
1,0.6,49.8
1,0.62,50.6
1,0.64,52.6
1,0.66,53.2
1,0.68,54
1,0.7,54.8
1,0.72,55.2
1,0.74,55.4
1,0.76,54.6
1,0.78,54.2
1,0.8,53.2
1,0.82,51.8
1,0.84,50.4
1,0.86,48.8
1,0.88,47
1,0.9,47
1,0.92,47.6
1,0.94,48.4
1,0.96,49
1,0.98,49.8
1,1,50.4
1,1.02,51
1,1.04,52.2
1,1.06,52.6
1,1.08,53
1,1.1,53.4
1,1.12,54.2
1,1.14,54.8
1,1.16,55.4
1,1.18,55.8
1,1.2,56.2
1,1.22,56.2
1,1.24,56.6
1,1.26,56.6
1,1.28,56.8
1,1.3,56.8
1,1.32,57
1,1.34,57.2
1,1.36,57.6
1,1.38,57.6
1,1.4,57.6
1,1.42,57.6
1,1.44,57.8
1,1.46,58.2
1,1.48,58.6
1,1.5,58.8
1,1.52,59.2
1,1.54,59.2
1,1.56,59.6
1,1.58,59.6
1,1.6,59.8
1,1.62,59.8
1,1.64,59.6
1,1.66,58.6
1,1.68,58
1,1.7,57.6
1,1.72,57.4
1,1.74,57.4
1,1.76,57
1,1.78,56.8
1,1.8,56.8
1,1.82,56.6
1,1.84,56.8
1,1.86,57
1,1.88,57
1,1.9,56.6
1,1.92,56.2
1,1.94,55.8
1,1.96,56
1,1.98,56
1,2,56.6
1,2.02,57
1,2.04,57.2
1,2.06,57.4
1,2.08,57.6
1,2.1,57.6
1,2.12,58
1,2.14,58.4
1,2.16,58.6
1,2.18,58.8
1,2.2,58.8
1,2.22,59
1,2.24,59.2
1,2.26,59.2
1,2.28,59.4
1,2.3,59.6
1,2.32,59.6
1,2.34,59.4
1,2.36,58.6
1,2.38,58.2
1,2.4,57.8
1,2.42,58
1,2.44,58
1,2.46,58
1,2.48,58
1,2.5,58.2
1,2.52,58.2
1,2.54,57.8
1,2.56,58
1,2.58,58.4
1,2.6,58.6
1,2.62,59
1,2.64,59.4
1,2.66,60
1,2.68,61.6
1,2.7,62.4
1,2.72,63.2
1,2.74,65.2
1,2.76,67.4
1,2.78,68.8
1,2.8,70.4
1,2.82,72
1,2.84,75.6
1,2.86,77.2
1,2.88,78.8
1,2.9,80.2
1,2.92,82.8
1,2.94,84
1,2.96,85.4
1,2.98,86.6
1,3,89.2
1,3.02,89.8
1,3.04,90.4
1,3.06,92.6
1,3.08,94.6
1,3.1,95.4
1,3.12,96.2
1,3.14,97.4
1,3.16,99.6
1,3.18,100
1,3.2,100.6
1,3.22,102.4
1,3.24,103.8
1,3.26,104.4
1,3.28,105
1,3.3,105.8
