Test,Item,result,syringe_type,Test_conditions,Device
Bluetooth button press,1,1.0665,N/A,Standard,Connected
Bluetooth button press,2,1.158,N/A,Standard,Connected
Bluetooth button press,3,1.1295,N/A,Standard,Connected
Bluetooth button press,4,1.2165,N/A,Standard,Connected
Bluetooth button press,5,1.1115,N/A,Standard,Connected
Bluetooth button press,6,1.2315,N/A,Standard,Connected
Bluetooth button press,7,1.095,N/A,Standard,Connected
Bluetooth button press,8,1.191,N/A,Standard,Connected
Bluetooth button press,9,1.1715,N/A,Standard,Connected
Bluetooth button press,10,1.152,N/A,Standard,Connected
Bluetooth button press,11,1.161,N/A,Standard,Connected
Bluetooth button press,12,1.176,N/A,Standard,Connected
Bluetooth button press,13,1.188,N/A,Standard,Connected
Bluetooth button press,14,1.1715,N/A,Standard,Connected
Bluetooth button press,15,1.2015,N/A,Standard,Connected
Bluetooth button press,16,1.176,N/A,Standard,Connected
Bluetooth button press,17,1.221,N/A,Standard,Connected
Bluetooth button press,18,1.0545,N/A,Standard,Connected
Bluetooth button press,19,1.0725,N/A,Standard,Connected
Bluetooth button press,20,1.14,N/A,Standard,Connected
Bluetooth button press,21,1.168,N/A,Standard,Connected
Bluetooth button press,22,1.1175,N/A,Standard,Connected
Bluetooth button press,23,1.1505,N/A,Standard,Connected
Bluetooth button press,24,0.9735,N/A,Standard,Connected
Bluetooth button press,25,1.1235,N/A,Standard,Connected
Bluetooth button press,26,1.1715,N/A,Standard,Connected
Bluetooth button press,27,1.1445,N/A,Standard,Connected
Bluetooth button press,28,1.0485,N/A,Standard,Connected
Bluetooth button press,29,1.212,N/A,Standard,Connected
Bluetooth button press,30,1.0875,N/A,Standard,Connected
Bluetooth button press,31,1.445,N/A,Standard,Connected
Bluetooth button press,32,1.077,N/A,Standard,Connected
Bluetooth button press,33,1.152,N/A,Standard,Connected
Bluetooth button press,34,1.146,N/A,Standard,Connected
Bluetooth button press,35,1.304,N/A,Standard,Connected
Cap Removal Force,36,1.224,N/A,Standard,Connected
Cap Removal Force,37,1.2495,N/A,Standard,Connected
Cap Removal Force,38,1.278,N/A,Standard,Connected
Cap Removal Force,39,1.227,N/A,Standard,Connected
Cap Removal Force,40,1.1865,N/A,Standard,Connected
Cap Removal Force,41,1.14,N/A,Standard,Connected
Cap Removal Force,42,1.1985,N/A,Standard,Connected
Cap Removal Force,43,1.1325,N/A,Standard,Connected
Cap Removal Force,44,1.182,N/A,Standard,Connected
Cap Removal Force,45,1.732,N/A,Standard,Connected
Cap Removal Force,46,1.1745,N/A,Standard,Connected
Cap Removal Force,47,1.299,N/A,Standard,Connected
Cap Removal Force,48,1.257,N/A,Standard,Connected
Cap Removal Force,49,1.191,N/A,Standard,Connected
Cap Removal Force,50,1.266,N/A,Standard,Connected
Cap Removal Force,51,1.1205,N/A,Standard,Connected
Cap Removal Force,52,1.2135,N/A,Standard,Connected
Cap Removal Force,53,1.218,N/A,Standard,Connected
Cap Removal Force,54,1.1505,N/A,Standard,Connected
Cap Removal Force,55,1.158,N/A,Standard,Connected
Cap Removal Force,56,1.1505,N/A,Standard,Connected
Cap Removal Force,57,1.1835,N/A,Standard,Connected
Cap Removal Force,58,1.179,N/A,Standard,Connected
Cap Removal Force,59,1.115,N/A,Standard,Connected
Cap Removal Force,60,1.137,N/A,Standard,Connected
Cap Removal Force,61,1.089,N/A,Standard,Connected
Cap Removal Force,62,1.224,N/A,Standard,Connected
Cap Removal Force,63,1.15,N/A,Standard,Connected
Cap Removal Force,64,1.248,N/A,Standard,Connected
Cap Removal Force,65,1.165,N/A,Standard,Connected
Cap Removal Force,66,1.1715,N/A,Standard,Connected
Cap Removal Force,67,1.161,N/A,Standard,Connected
Cap Removal Force,68,1.173,N/A,Standard,Connected
Cap Removal Force,69,1.194,N/A,Standard,Connected
Cap Removal Force,70,1.1985,N/A,Standard,Connected
Cap Removal Force,71,10.675,N/a,Standard,
Force to fire and hold,72,9.725,N/a,Standard,Connected
Force to fire and hold,73,9.68,N/a,Standard,Connected
Force to fire and hold,74,9.95,N/a,Standard,Connected
Force to fire and hold,75,10.1,N/a,Standard,Connected
Force to fire and hold,76,9.84,N/a,Standard,Connected
Force to fire and hold,77,9.9,N/a,Standard,Connected
Force to fire and hold,78,9.6,N/a,Standard,Connected
Force to fire and hold,79,9.925,N/a,Standard,Connected
Force to fire and hold,80,9.92,N/a,Standard,Connected
Force to fire and hold,81,9.675,N/a,Standard,Connected
Force to fire and hold,82,9.95,N/a,Standard,Connected
Force to fire and hold,83,9.96,N/a,Standard,Connected
Force to fire and hold,84,9.725,N/a,Standard,Connected
Force to fire and hold,85,9.775,N/a,Standard,Connected
Force to fire and hold,86,10.4,N/a,Standard,Connected
Force to fire and hold,87,9.725,N/a,Standard,Connected
Force to fire and hold,88,9.65,N/a,Standard,Connected
Force to fire and hold,89,9.76,N/a,Standard,Connected
Force to fire and hold,90,9.95,N/a,Standard,Connected
Force to fire and hold,91,9.975,N/a,Standard,Connected
Force to fire and hold,92,10.425,N/a,Standard,Connected
Force to fire and hold,93,10.25,N/a,Standard,Connected
Force to fire and hold,94,9.7,N/a,Standard,Connected
Force to fire and hold,95,9.875,N/a,Standard,Connected
Force to fire and hold,96,10.15,N/a,Standard,Connected
Force to fire and hold,97,10.08,N/a,Standard,Connected
Force to fire and hold,98,10.3,N/a,Standard,Connected
Force to fire and hold,99,9.8,N/a,Standard,Connected
Force to fire and hold,100,9.76,N/a,Standard,Connected
Force to fire and hold,101,9.84,N/a,Standard,Connected
Force to fire and hold,102,9.575,N/a,Standard,Connected
Force to fire and hold,103,10,N/a,Standard,Connected
Force to fire and hold,104,9.92,N/a,Standard,Connected
