,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.3,1.00477259,1.00477259,0.557363515,0.333516717,0.211591483,0.140631004,0.097076968,0.069152762,2.005979537,1.00477259,0.557363515,0.333516717,0.211591483,0.140631004,0.097076968,0.069152762,2.005979537,1.00477259,0.557363515,0.333516717,0.211591483,0.140631004,0.097076968,0.069152762,2.005979537,1.00477259,0.557363515,0.333516717,0.211591483,0.140631004,0.097076968,0.069152762,2.005979537,1.00477259,0.557363515,0.333516717,0.211591483,0.140631004,0.097076968,0.069152762
0.35,2.005979537,1.172234688,0.650257434,0.389102837,0.24685673,0.164069505,0.113256463,0.080678222,2.34030946,1.172234688,0.650257434,0.389102837,0.24685673,0.164069505,0.113256463,0.080678222,2.34030946,1.172234688,0.650257434,0.389102837,0.24685673,0.164069505,0.113256463,0.080678222,2.34030946,1.172234688,0.650257434,0.389102837,0.24685673,0.164069505,0.113256463,0.080678222,2.34030946,1.172234688,0.650257434,0.389102837,0.24685673,0.164069505,0.113256463,0.080678222
0.4,2.34030946,1.339696787,0.743151353,0.444688956,0.282121978,0.187508006,0.129435957,0.092203683,2.674639383,1.339696787,0.743151353,0.444688956,0.282121978,0.187508006,0.129435957,0.092203683,2.674639383,1.339696787,0.743151353,0.444688956,0.282121978,0.187508006,0.129435957,0.092203683,2.674639383,1.339696787,0.743151353,0.444688956,0.282121978,0.187508006,0.129435957,0.092203683,2.674639383,1.339696787,0.743151353,0.444688956,0.282121978,0.187508006,0.129435957,0.092203683
0.45,2.674639383,1.507158885,0.836045273,0.500275076,0.317387225,0.210946506,0.145615452,0.103729143,3.008969306,1.507158885,0.836045273,0.500275076,0.317387225,0.210946506,0.145615452,0.103729143,3.008969306,1.507158885,0.836045273,0.500275076,0.317387225,0.210946506,0.145615452,0.103729143,3.008969306,1.507158885,0.836045273,0.500275076,0.317387225,0.210946506,0.145615452,0.103729143,3.008969306,1.507158885,0.836045273,0.500275076,0.317387225,0.210946506,0.145615452,0.103729143
0.5,3.008969306,1.674620984,0.928939192,0.555861195,0.352652472,0.234385007,0.161794946,0.115254603,3.343299229,1.674620984,0.928939192,0.555861195,0.352652472,0.234385007,0.161794946,0.115254603,3.343299229,1.674620984,0.928939192,0.555861195,0.352652472,0.234385007,0.161794946,0.115254603,3.343299229,1.674620984,0.928939192,0.555861195,0.352652472,0.234385007,0.161794946,0.115254603,3.343299229,1.674620984,0.928939192,0.555861195,0.352652472,0.234385007,0.161794946,0.115254603
0.55,3.677629152,1.842083082,1.021833111,0.611447315,0.387917719,0.257823508,0.177974441,0.126780064,3.677629152,1.842083082,1.021833111,0.611447315,0.387917719,0.257823508,0.177974441,0.126780064,3.677629152,1.842083082,1.021833111,0.611447315,0.387917719,0.257823508,0.177974441,0.126780064,3.677629152,1.842083082,1.021833111,0.611447315,0.387917719,0.257823508,0.177974441,0.126780064,3.677629152,1.842083082,1.021833111,0.611447315,0.387917719,0.257823508,0.177974441,0.126780064
0.6,4.011959075,2.00954518,1.11472703,0.667033434,0.423182966,0.281262009,0.194153936,0.138305524,4.011959075,2.00954518,1.11472703,0.667033434,0.423182966,0.281262009,0.194153936,0.138305524,4.011959075,2.00954518,1.11472703,0.667033434,0.423182966,0.281262009,0.194153936,0.138305524,4.011959075,2.00954518,1.11472703,0.667033434,0.423182966,0.281262009,0.194153936,0.138305524,4.011959075,2.00954518,1.11472703,0.667033434,0.423182966,0.281262009,0.194153936,0.138305524
0.65,4.346288998,2.177007279,1.207620949,0.722619554,0.458448213,0.304700509,0.21033343,0.149830984,4.346288998,2.177007279,1.207620949,0.722619554,0.458448213,0.304700509,0.21033343,0.149830984,4.346288998,2.177007279,1.207620949,0.722619554,0.458448213,0.304700509,0.21033343,0.149830984,4.346288998,2.177007279,1.207620949,0.722619554,0.458448213,0.304700509,0.21033343,0.149830984,4.346288998,2.177007279,1.207620949,0.722619554,0.458448213,0.304700509,0.21033343,0.149830984
0.7,4.680618921,2.344469377,1.300514869,0.778205674,0.493713461,0.32813901,0.226512925,0.161356445,4.680618921,2.344469377,1.300514869,0.778205674,0.493713461,0.32813901,0.226512925,0.161356445,4.680618921,2.344469377,1.300514869,0.778205674,0.493713461,0.32813901,0.226512925,0.161356445,4.680618921,2.344469377,1.300514869,0.778205674,0.493713461,0.32813901,0.226512925,0.161356445,4.680618921,2.344469377,1.300514869,0.778205674,0.493713461,0.32813901,0.226512925,0.161356445
0.75,5.014948843,2.511931475,1.393408788,0.833791793,0.528978708,0.351577511,0.24269242,0.172881905,5.014948843,2.511931475,1.393408788,0.833791793,0.528978708,0.351577511,0.24269242,0.172881905,5.014948843,2.511931475,1.393408788,0.833791793,0.528978708,0.351577511,0.24269242,0.172881905,5.014948843,2.511931475,1.393408788,0.833791793,0.528978708,0.351577511,0.24269242,0.172881905,5.014948843,2.511931475,1.393408788,0.833791793,0.528978708,0.351577511,0.24269242,0.172881905
0.8,5.349278766,2.679393574,1.486302707,0.889377913,0.564243955,0.375016011,0.258871914,0.184407366,5.349278766,2.679393574,1.486302707,0.889377913,0.564243955,0.375016011,0.258871914,0.184407366,5.349278766,2.679393574,1.486302707,0.889377913,0.564243955,0.375016011,0.258871914,0.184407366,5.349278766,2.679393574,1.486302707,0.889377913,0.564243955,0.375016011,0.258871914,0.184407366,5.349278766,2.679393574,1.486302707,0.889377913,0.564243955,0.375016011,0.258871914,0.184407366
0.85,5.683608689,2.846855672,1.579196626,0.944964032,0.599509202,0.398454512,0.275051409,0.195932826,5.683608689,2.846855672,1.579196626,0.944964032,0.599509202,0.398454512,0.275051409,0.195932826,5.683608689,2.846855672,1.579196626,0.944964032,0.599509202,0.398454512,0.275051409,0.195932826,5.683608689,2.846855672,1.579196626,0.944964032,0.599509202,0.398454512,0.275051409,0.195932826,5.683608689,2.846855672,1.579196626,0.944964032,0.599509202,0.398454512,0.275051409,0.195932826
0.9,6.017938612,3.01431777,1.672090545,1.000550152,0.634774449,0.421893013,0.291230904,0.207458286,6.017938612,3.01431777,1.672090545,1.000550152,0.634774449,0.421893013,0.291230904,0.207458286,6.017938612,3.01431777,1.672090545,1.000550152,0.634774449,0.421893013,0.291230904,0.207458286,6.017938612,3.01431777,1.672090545,1.000550152,0.634774449,0.421893013,0.291230904,0.207458286,6.017938612,3.01431777,1.672090545,1.000550152,0.634774449,0.421893013,0.291230904,0.207458286
0.95,6.352268535,3.181779869,1.764984464,1.056136271,0.670039697,0.445331514,0.307410398,0.218983747,6.352268535,3.181779869,1.764984464,1.056136271,0.670039697,0.445331514,0.307410398,0.218983747,6.352268535,3.181779869,1.764984464,1.056136271,0.670039697,0.445331514,0.307410398,0.218983747,6.352268535,3.181779869,1.764984464,1.056136271,0.670039697,0.445331514,0.307410398,0.218983747,6.352268535,3.181779869,1.764984464,1.056136271,0.670039697,0.445331514,0.307410398,0.218983747
1,6.686598458,3.349241967,1.857878384,1.111722391,0.705304944,0.468770014,0.323589893,0.230509207,6.686598458,3.349241967,1.857878384,1.111722391,0.705304944,0.468770014,0.323589893,0.230509207,6.686598458,3.349241967,1.857878384,1.111722391,0.705304944,0.468770014,0.323589893,0.230509207,6.686598458,3.349241967,1.857878384,1.111722391,0.705304944,0.468770014,0.323589893,0.230509207,6.686598458,3.349241967,1.857878384,1.111722391,0.705304944,0.468770014,0.323589893,0.230509207
