Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest to spec
gap creation,1.083,1.05,2.5,1.45,0.033,1.417,2.3,97.7,2.3
gap creation,1.084,1.05,2.5,1.45,0.034,1.416,2.3,97.7,2.3
gap creation,1.086,1.05,2.5,1.45,0.036,1.414,2.5,97.5,2.5
gap creation,1.087,1.05,2.5,1.45,0.037,1.413,2.6,97.4,2.6
gap creation,1.087,1.05,2.5,1.45,0.037,1.413,2.6,97.4,2.6
gap creation,1.094,1.05,2.5,1.45,0.044,1.406,3.0,97.0,3.0
gap creation,1.109,1.05,2.5,1.45,0.059,1.391,4.1,95.9,4.1
gap creation,1.113,1.05,2.5,1.45,0.063,1.387,4.3,95.7,4.3
gap creation,1.115,1.05,2.5,1.45,0.065,1.385,4.5,95.5,4.5
gap creation,1.121,1.05,2.5,1.45,0.071,1.379,4.9,95.1,4.9
gap creation,1.125,1.05,2.5,1.45,0.075,1.375,5.2,94.8,5.2
gap creation,1.137,1.05,2.5,1.45,0.087,1.363,6.0,94.0,6.0
gap creation,1.141,1.05,2.5,1.45,0.091,1.359,6.3,93.7,6.3
gap creation,1.151,1.05,2.5,1.45,0.101,1.349,7.0,93.0,7.0
gap creation,1.155,1.05,2.5,1.45,0.105,1.345,7.2,92.8,7.2
gap creation,1.156,1.05,2.5,1.45,0.106,1.344,7.3,92.7,7.3
gap creation,1.158,1.05,2.5,1.45,0.108,1.342,7.4,92.6,7.4
gap creation,1.159,1.05,2.5,1.45,0.109,1.341,7.5,92.5,7.5
gap creation,1.159,1.05,2.5,1.45,0.109,1.341,7.5,92.5,7.5
gap creation,1.167,1.05,2.5,1.45,0.117,1.333,8.1,91.9,8.1
gap creation,1.17,1.05,2.5,1.45,0.12,1.33,8.3,91.7,8.3
gap creation,1.173,1.05,2.5,1.45,0.123,1.327,8.5,91.5,8.5
gap creation,1.176,1.05,2.5,1.45,0.126,1.324,8.7,91.3,8.7
gap creation,1.176,1.05,2.5,1.45,0.126,1.324,8.7,91.3,8.7
gap creation,1.177,1.05,2.5,1.45,0.127,1.323,8.8,91.2,8.8
gap creation,1.185,1.05,2.5,1.45,0.135,1.315,9.3,90.7,9.3
gap creation,1.185,1.05,2.5,1.45,0.135,1.315,9.3,90.7,9.3
gap creation,1.187,1.05,2.5,1.45,0.137,1.313,9.4,90.6,9.4
gap creation,1.189,1.05,2.5,1.45,0.139,1.311,9.6,90.4,9.6
gap creation,1.196,1.05,2.5,1.45,0.146,1.304,10.1,89.9,10.1
gap creation,1.196,1.05,2.5,1.45,0.146,1.304,10.1,89.9,10.1
gap creation,1.2,1.05,2.5,1.45,0.15,1.3,10.3,89.7,10.3
gap creation,1.202,1.05,2.5,1.45,0.152,1.298,10.5,89.5,10.5
gap creation,1.203,1.05,2.5,1.45,0.153,1.297,10.6,89.4,10.6
gap creation,1.204,1.05,2.5,1.45,0.154,1.296,10.6,89.4,10.6
gap creation,1.209,1.05,2.5,1.45,0.159,1.291,11.0,89.0,11.0
gap creation,1.209,1.05,2.5,1.45,0.159,1.291,11.0,89.0,11.0
