Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest to spec
gap creation,1.086,1.05,2.5,1.45,0.036,1.414,2.5,97.5,2.5
gap creation,1.113,1.05,2.5,1.45,0.063,1.387,4.3,95.7,4.3
gap creation,1.084,1.05,2.5,1.45,0.034,1.416,2.3,97.7,2.3
gap creation,2.296,1.05,2.5,1.45,1.246,0.204,85.9,14.1,14.1
gap creation,2.053,1.05,2.5,1.45,1.003,0.447,69.2,30.8,30.8
gap creation,1.037,1.05,2.5,1.45,-0.013,1.463,-0.9,100.9,-0.9
gap creation,1.039,1.05,2.5,1.45,-0.011,1.461,-0.8,100.8,-0.8
gap creation,2.082,1.05,2.5,1.45,1.032,0.418,71.2,28.8,28.8
gap creation,1.071,1.05,2.5,1.45,0.021,1.429,1.4,98.6,1.4
gap creation,1.279,1.05,2.5,1.45,0.229,1.221,15.8,84.2,15.8
gap creation,1.288,1.05,2.5,1.45,0.238,1.212,16.4,83.6,16.4
gap creation,1.203,1.05,2.5,1.45,0.153,1.297,10.6,89.4,10.6
gap creation,1.025,1.05,2.5,1.45,-0.025,1.475,-1.7,101.7,-1.7
gap creation,1.3,1.05,2.5,1.45,0.25,1.2,17.2,82.8,17.2
gap creation,1.159,1.05,2.5,1.45,0.109,1.341,7.5,92.5,7.5
gap creation,1.137,1.05,2.5,1.45,0.087,1.363,6.0,94.0,6.0
gap creation,2.085,1.05,2.5,1.45,1.035,0.415,71.4,28.6,28.6
gap creation,2.303,1.05,2.5,1.45,1.253,0.197,86.4,13.6,13.6
gap creation,2.127,1.05,2.5,1.45,1.077,0.373,74.3,25.7,25.7
gap creation,1.371,1.05,2.5,1.45,0.321,1.129,22.1,77.9,22.1
gap creation,1.115,1.05,2.5,1.45,0.065,1.385,4.5,95.5,4.5
gap creation,1.418,1.05,2.5,1.45,0.368,1.082,25.4,74.6,25.4
gap creation,1.125,1.05,2.5,1.45,0.075,1.375,5.2,94.8,5.2
gap creation,2.079,1.05,2.5,1.45,1.029,0.421,71.0,29.0,29.0
gap creation,2.009,1.05,2.5,1.45,0.959,0.491,66.1,33.9,33.9
gap creation,1.209,1.05,2.5,1.45,0.159,1.291,11.0,89.0,11.0
gap creation,2.02,1.05,2.5,1.45,0.97,0.48,66.9,33.1,33.1
gap creation,1.167,1.05,2.5,1.45,0.117,1.333,8.1,91.9,8.1
gap creation,1.158,1.05,2.5,1.45,0.108,1.342,7.4,92.6,7.4
gap creation,1.087,1.05,2.5,1.45,0.037,1.413,2.6,97.4,2.6
gap creation,2.182,1.05,2.5,1.45,1.132,0.318,78.1,21.9,21.9
gap creation,2.343,1.05,2.5,1.45,1.293,0.157,89.2,10.8,10.8
gap creation,1.156,1.05,2.5,1.45,0.106,1.344,7.3,92.7,7.3
gap creation,1.036,1.05,2.5,1.45,-0.014,1.464,-1.0,101.0,-1.0
gap creation,1.185,1.05,2.5,1.45,0.135,1.315,9.3,90.7,9.3
gap creation,2.537,1.05,2.5,1.45,1.487,-0.037,102.6,-2.6,-2.6
gap creation,2.469,1.05,2.5,1.45,1.419,0.031,97.9,2.1,2.1
gap creation,2.944,1.05,2.5,1.45,1.894,-0.444,130.6,-30.6,-30.6
gap creation,2.209,1.05,2.5,1.45,1.159,0.291,79.9,20.1,20.1
gap creation,2.218,1.05,2.5,1.45,1.168,0.282,80.6,19.4,19.4
gap creation,2.317,1.05,2.5,1.45,1.267,0.183,87.4,12.6,12.6
gap creation,2.213,1.05,2.5,1.45,1.163,0.287,80.2,19.8,19.8
gap creation,1.948,1.05,2.5,1.45,0.898,0.552,61.9,38.1,38.1
gap creation,1.568,1.05,2.5,1.45,0.518,0.932,35.7,64.3,35.7
gap creation,2.309,1.05,2.5,1.45,1.259,0.191,86.8,13.2,13.2
gap creation,1.853,1.05,2.5,1.45,0.803,0.647,55.4,44.6,44.6
gap creation,1.46,1.05,2.5,1.45,0.41,1.04,28.3,71.7,28.3
gap creation,2.358,1.05,2.5,1.45,1.308,0.142,90.2,9.8,9.8
gap creation,1.986,1.05,2.5,1.45,0.936,0.514,64.6,35.4,35.4
gap creation,1.697,1.05,2.5,1.45,0.647,0.803,44.6,55.4,44.6
gap creation,2.439,1.05,2.5,1.45,1.389,0.061,95.8,4.2,4.2
gap creation,1.395,1.05,2.5,1.45,0.345,1.105,23.8,76.2,23.8
gap creation,2.101,1.05,2.5,1.45,1.051,0.399,72.5,27.5,27.5
gap creation,1.947,1.05,2.5,1.45,0.897,0.553,61.9,38.1,38.1
gap creation,1.717,1.05,2.5,1.45,0.667,0.783,46.0,54.0,46.0
gap creation,1.804,1.05,2.5,1.45,0.754,0.696,52.0,48.0,48.0
gap creation,2.21,1.05,2.5,1.45,1.16,0.29,80.0,20.0,20.0
gap creation,2.095,1.05,2.5,1.45,1.045,0.405,72.1,27.9,27.9
gap creation,1.942,1.05,2.5,1.45,0.892,0.558,61.5,38.5,38.5
gap creation,1.525,1.05,2.5,1.45,0.475,0.975,32.8,67.2,32.8
gap creation,2.174,1.05,2.5,1.45,1.124,0.326,77.5,22.5,22.5
gap creation,2.198,1.05,2.5,1.45,1.148,0.302,79.2,20.8,20.8
gap creation,1.907,1.05,2.5,1.45,0.857,0.593,59.1,40.9,40.9
gap creation,2.207,1.05,2.5,1.45,1.157,0.293,79.8,20.2,20.2
gap creation,2.355,1.05,2.5,1.45,1.305,0.145,90.0,10.0,10.0
gap creation,2.268,1.05,2.5,1.45,1.218,0.232,84.0,16.0,16.0
gap creation,1.831,1.05,2.5,1.45,0.781,0.669,53.9,46.1,46.1
gap creation,2.047,1.05,2.5,1.45,0.997,0.453,68.8,31.2,31.2
gap creation,1.623,1.05,2.5,1.45,0.573,0.877,39.5,60.5,39.5
gap creation,1.681,1.05,2.5,1.45,0.631,0.819,43.5,56.5,43.5
gap creation,1.942,1.05,2.5,1.45,0.892,0.558,61.5,38.5,38.5
gap creation,2.385,1.05,2.5,1.45,1.335,0.115,92.1,7.9,7.9
gap creation,1.846,1.05,2.5,1.45,0.796,0.654,54.9,45.1,45.1
gap creation,2.075,1.05,2.5,1.45,1.025,0.425,70.7,29.3,29.3
gap creation,1.766,1.05,2.5,1.45,0.716,0.734,49.4,50.6,49.4
gap creation,1.71,1.05,2.5,1.45,0.66,0.79,45.5,54.5,45.5
gap creation,1.427,1.05,2.5,1.45,0.377,1.073,26.0,74.0,26.0
gap creation,1.778,1.05,2.5,1.45,0.728,0.722,50.2,49.8,49.8
gap creation,2.145,1.05,2.5,1.45,1.095,0.355,75.5,24.5,24.5
gap creation,1.629,1.05,2.5,1.45,0.579,0.871,39.9,60.1,39.9
gap creation,2.32,1.05,2.5,1.45,1.27,0.18,87.6,12.4,12.4
gap creation,2.239,1.05,2.5,1.45,1.189,0.261,82.0,18.0,18.0
gap creation,2.359,1.05,2.5,1.45,1.309,0.141,90.3,9.7,9.7
gap creation,1.82,1.05,2.5,1.45,0.77,0.68,53.1,46.9,46.9
gap creation,1.675,1.05,2.5,1.45,0.625,0.825,43.1,56.9,43.1
gap creation,1.615,1.05,2.5,1.45,0.565,0.885,39.0,61.0,39.0
gap creation,1.545,1.05,2.5,1.45,0.495,0.955,34.1,65.9,34.1
gap creation,2.324,1.05,2.5,1.45,1.274,0.176,87.9,12.1,12.1
gap creation,1.305,1.05,2.5,1.45,0.255,1.195,17.6,82.4,17.6
gap creation,1.407,1.05,2.5,1.45,0.357,1.093,24.6,75.4,24.6
gap creation,1.047,1.05,2.5,1.45,-0.003,1.453,-0.2,100.2,-0.2
gap creation,2.297,1.05,2.5,1.45,1.247,0.203,86.0,14.0,14.0
gap creation,1.924,1.05,2.5,1.45,0.874,0.576,60.3,39.7,39.7
gap creation,1.239,1.05,2.5,1.45,0.189,1.261,13.0,87.0,13.0
gap creation,1.187,1.05,2.5,1.45,0.137,1.313,9.4,90.6,9.4
gap creation,2.769,1.05,2.5,1.45,1.719,-0.269,118.6,-18.6,-18.6
gap creation,2.46,1.05,2.5,1.45,1.41,0.04,97.2,2.8,2.8
gap creation,0.918,1.05,2.5,1.45,-0.132,1.582,-9.1,109.1,-9.1
gap creation,0.76,1.05,2.5,1.45,-0.29,1.74,-20.0,120.0,-20.0
gap creation,1.863,1.05,2.5,1.45,0.813,0.637,56.1,43.9,43.9
gap creation,2.576,1.05,2.5,1.45,1.526,-0.076,105.2,-5.2,-5.2
gap creation,2.473,1.05,2.5,1.45,1.423,0.027,98.1,1.9,1.9
gap creation,2.611,1.05,2.5,1.45,1.561,-0.111,107.7,-7.7,-7.7
gap creation,1.842,1.05,2.5,1.45,0.792,0.658,54.6,45.4,45.4
gap creation,2.458,1.05,2.5,1.45,1.408,0.042,97.1,2.9,2.9
gap creation,2.235,1.05,2.5,1.45,1.185,0.265,81.7,18.3,18.3
gap creation,2.261,1.05,2.5,1.45,1.211,0.239,83.5,16.5,16.5
gap creation,2.333,1.05,2.5,1.45,1.283,0.167,88.5,11.5,11.5
gap creation,2.138,1.05,2.5,1.45,1.088,0.362,75.0,25.0,25.0
gap creation,1.812,1.05,2.5,1.45,0.762,0.688,52.6,47.4,47.4
gap creation,2.039,1.05,2.5,1.45,0.989,0.461,68.2,31.8,31.8
gap creation,1.176,1.05,2.5,1.45,0.126,1.324,8.7,91.3,8.7
gap creation,1.856,1.05,2.5,1.45,0.806,0.644,55.6,44.4,44.4
gap creation,2.228,1.05,2.5,1.45,1.178,0.272,81.2,18.8,18.8
gap creation,1.915,1.05,2.5,1.45,0.865,0.585,59.7,40.3,40.3
gap creation,1.414,1.05,2.5,1.45,0.364,1.086,25.1,74.9,25.1
gap creation,1.814,1.05,2.5,1.45,0.764,0.686,52.7,47.3,47.3
gap creation,1.586,1.05,2.5,1.45,0.536,0.914,37.0,63.0,37.0
gap creation,1.232,1.05,2.5,1.45,0.182,1.268,12.6,87.4,12.6
gap creation,1.983,1.05,2.5,1.45,0.933,0.517,64.3,35.7,35.7
gap creation,1.847,1.05,2.5,1.45,0.797,0.653,55.0,45.0,45.0
gap creation,1.523,1.05,2.5,1.45,0.473,0.977,32.6,67.4,32.6
gap creation,2.123,1.05,2.5,1.45,1.073,0.377,74.0,26.0,26.0
gap creation,1.974,1.05,2.5,1.45,0.924,0.526,63.7,36.3,36.3
gap creation,2.116,1.05,2.5,1.45,1.066,0.384,73.5,26.5,26.5
gap creation,1.915,1.05,2.5,1.45,0.865,0.585,59.7,40.3,40.3
gap creation,1.488,1.05,2.5,1.45,0.438,1.012,30.2,69.8,30.2
gap creation,1.121,1.05,2.5,1.45,0.071,1.379,4.9,95.1,4.9
gap creation,1.664,1.05,2.5,1.45,0.614,0.836,42.3,57.7,42.3
gap creation,1.588,1.05,2.5,1.45,0.538,0.912,37.1,62.9,37.1
gap creation,1.445,1.05,2.5,1.45,0.395,1.055,27.2,72.8,27.2
gap creation,1.973,1.05,2.5,1.45,0.923,0.527,63.7,36.3,36.3
gap creation,1.962,1.05,2.5,1.45,0.912,0.538,62.9,37.1,37.1
gap creation,1.639,1.05,2.5,1.45,0.589,0.861,40.6,59.4,40.6
gap creation,2.339,1.05,2.5,1.45,1.289,0.161,88.9,11.1,11.1
gap creation,1.141,1.05,2.5,1.45,0.091,1.359,6.3,93.7,6.3
gap creation,2.22,1.05,2.5,1.45,1.17,0.28,80.7,19.3,19.3
gap creation,1.634,1.05,2.5,1.45,0.584,0.866,40.3,59.7,40.3
gap creation,1.094,1.05,2.5,1.45,0.044,1.406,3.0,97.0,3.0
gap creation,1.839,1.05,2.5,1.45,0.789,0.661,54.4,45.6,45.6
gap creation,1.607,1.05,2.5,1.45,0.557,0.893,38.4,61.6,38.4
gap creation,2.076,1.05,2.5,1.45,1.026,0.424,70.8,29.2,29.2
gap creation,1.763,1.05,2.5,1.45,0.713,0.737,49.2,50.8,49.2
gap creation,1.86,1.05,2.5,1.45,0.81,0.64,55.9,44.1,44.1
gap creation,2.371,1.05,2.5,1.45,1.321,0.129,91.1,8.9,8.9
gap creation,2.006,1.05,2.5,1.45,0.956,0.494,65.9,34.1,34.1
gap creation,1.84,1.05,2.5,1.45,0.79,0.66,54.5,45.5,45.5
gap creation,1.824,1.05,2.5,1.45,0.774,0.676,53.4,46.6,46.6
gap creation,1.785,1.05,2.5,1.45,0.735,0.715,50.7,49.3,49.3
gap creation,1.35,1.05,2.5,1.45,0.3,1.15,20.7,79.3,20.7
gap creation,1.261,1.05,2.5,1.45,0.211,1.239,14.6,85.4,14.6
gap creation,2.263,1.05,2.5,1.45,1.213,0.237,83.7,16.3,16.3
gap creation,2.173,1.05,2.5,1.45,1.123,0.327,77.4,22.6,22.6
gap creation,1.743,1.05,2.5,1.45,0.693,0.757,47.8,52.2,47.8
gap creation,1.702,1.05,2.5,1.45,0.652,0.798,45.0,55.0,45.0
gap creation,1.222,1.05,2.5,1.45,0.172,1.278,11.9,88.1,11.9
gap creation,1.196,1.05,2.5,1.45,0.146,1.304,10.1,89.9,10.1
gap creation,1.17,1.05,2.5,1.45,0.12,1.33,8.3,91.7,8.3
gap creation,2.405,1.05,2.5,1.45,1.355,0.095,93.4,6.6,6.6
gap creation,2.19,1.05,2.5,1.45,1.14,0.31,78.6,21.4,21.4
gap creation,1.185,1.05,2.5,1.45,0.135,1.315,9.3,90.7,9.3
gap creation,1.087,1.05,2.5,1.45,0.037,1.413,2.6,97.4,2.6
gap creation,2.295,1.05,2.5,1.45,1.245,0.205,85.9,14.1,14.1
gap creation,1.196,1.05,2.5,1.45,0.146,1.304,10.1,89.9,10.1
gap creation,1.486,1.05,2.5,1.45,0.436,1.014,30.1,69.9,30.1
gap creation,1.539,1.05,2.5,1.45,0.489,0.961,33.7,66.3,33.7
gap creation,1.454,1.05,2.5,1.45,0.404,1.046,27.9,72.1,27.9
gap creation,1.083,1.05,2.5,1.45,0.033,1.417,2.3,97.7,2.3
gap creation,1.431,1.05,2.5,1.45,0.381,1.069,26.3,73.7,26.3
gap creation,1.217,1.05,2.5,1.45,0.167,1.283,11.5,88.5,11.5
gap creation,1.384,1.05,2.5,1.45,0.334,1.116,23.0,77.0,23.0
gap creation,2.292,1.05,2.5,1.45,1.242,0.208,85.7,14.3,14.3
gap creation,2.475,1.05,2.5,1.45,1.425,0.025,98.3,1.7,1.7
gap creation,2.31,1.05,2.5,1.45,1.26,0.19,86.9,13.1,13.1
gap creation,1.585,1.05,2.5,1.45,0.535,0.915,36.9,63.1,36.9
gap creation,1.177,1.05,2.5,1.45,0.127,1.323,8.8,91.2,8.8
gap creation,1.562,1.05,2.5,1.45,0.512,0.938,35.3,64.7,35.3
gap creation,1.176,1.05,2.5,1.45,0.126,1.324,8.7,91.3,8.7
gap creation,2.375,1.05,2.5,1.45,1.325,0.125,91.4,8.6,8.6
gap creation,2.325,1.05,2.5,1.45,1.275,0.175,87.9,12.1,12.1
gap creation,1.266,1.05,2.5,1.45,0.216,1.234,14.9,85.1,14.9
gap creation,2.175,1.05,2.5,1.45,1.125,0.325,77.6,22.4,22.4
gap creation,1.219,1.05,2.5,1.45,0.169,1.281,11.7,88.3,11.7
gap creation,1.377,1.05,2.5,1.45,0.327,1.123,22.6,77.4,22.6
gap creation,1.204,1.05,2.5,1.45,0.154,1.296,10.6,89.4,10.6
gap creation,2.231,1.05,2.5,1.45,1.181,0.269,81.4,18.6,18.6
gap creation,2.535,1.05,2.5,1.45,1.485,-0.035,102.4,-2.4,-2.4
gap creation,1.069,1.05,2.5,1.45,0.019,1.431,1.3,98.7,1.3
gap creation,1.044,1.05,2.5,1.45,-0.006,1.456,-0.4,100.4,-0.4
gap creation,1.151,1.05,2.5,1.45,0.101,1.349,7.0,93.0,7.0
gap creation,2.202,1.05,2.5,1.45,1.152,0.298,79.4,20.6,20.6
