Test,item,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,1,1.086,1.05,2.5,1.45,0.036,1.414,2.5,97.5,0.025
gap creation,2,1.113,1.05,2.5,1.45,0.063,1.387,4.3,95.7,0.043
gap creation,3,1.084,1.05,2.5,1.45,0.034,1.416,2.3,97.7,0.023
gap creation,4,2.296,1.05,2.5,1.45,1.246,0.204,85.9,14.1,0.141
gap creation,5,2.053,1.05,2.5,1.45,1.003,0.447,69.2,30.8,0.308
gap creation,6,1.037,1.05,2.5,1.45,-0.013,1.463,-0.9,100.9,-0.009
gap creation,7,1.039,1.05,2.5,1.45,-0.011,1.461,-0.8,100.8,-0.008
gap creation,8,2.082,1.05,2.5,1.45,1.032,0.418,71.2,28.8,0.288
gap creation,9,1.071,1.05,2.5,1.45,0.021,1.429,1.4,98.6,0.014
gap creation,10,1.279,1.05,2.5,1.45,0.229,1.221,15.8,84.2,0.158
gap creation,11,1.288,1.05,2.5,1.45,0.238,1.212,16.4,83.6,0.164
gap creation,12,1.203,1.05,2.5,1.45,0.153,1.297,10.6,89.4,0.106
gap creation,13,1.025,1.05,2.5,1.45,-0.025,1.475,-1.7,101.7,-0.017
gap creation,14,1.3,1.05,2.5,1.45,0.25,1.2,17.2,82.8,0.172
gap creation,15,1.159,1.05,2.5,1.45,0.109,1.341,7.5,92.5,0.075
gap creation,16,1.137,1.05,2.5,1.45,0.087,1.363,6,94,0.06
gap creation,17,2.085,1.05,2.5,1.45,1.035,0.415,71.4,28.6,0.286
gap creation,18,2.303,1.05,2.5,1.45,1.253,0.197,86.4,13.6,0.136
gap creation,19,2.127,1.05,2.5,1.45,1.077,0.373,74.3,25.7,0.257
gap creation,20,1.371,1.05,2.5,1.45,0.321,1.129,22.1,77.9,0.221
gap creation,21,1.115,1.05,2.5,1.45,0.065,1.385,4.5,95.5,0.045
gap creation,22,1.418,1.05,2.5,1.45,0.368,1.082,25.4,74.6,0.254
gap creation,23,1.125,1.05,2.5,1.45,0.075,1.375,5.2,94.8,0.052
gap creation,24,2.079,1.05,2.5,1.45,1.029,0.421,71,29,0.29
gap creation,25,2.009,1.05,2.5,1.45,0.959,0.491,66.1,33.9,0.339
gap creation,26,1.209,1.05,2.5,1.45,0.159,1.291,11,89,0.11
gap creation,27,2.02,1.05,2.5,1.45,0.97,0.48,66.9,33.1,0.331
gap creation,28,1.167,1.05,2.5,1.45,0.117,1.333,8.1,91.9,0.081
gap creation,29,1.158,1.05,2.5,1.45,0.108,1.342,7.4,92.6,0.074
gap creation,30,1.087,1.05,2.5,1.45,0.037,1.413,2.6,97.4,0.026
gap creation,31,2.182,1.05,2.5,1.45,1.132,0.318,78.1,21.9,0.219
gap creation,32,2.343,1.05,2.5,1.45,1.293,0.157,89.2,10.8,0.108
gap creation,33,1.156,1.05,2.5,1.45,0.106,1.344,7.3,92.7,0.073
gap creation,34,1.036,1.05,2.5,1.45,-0.014,1.464,-1,101,-0.01
gap creation,35,1.185,1.05,2.5,1.45,0.135,1.315,9.3,90.7,0.093
gap creation,36,2.537,1.05,2.5,1.45,1.487,-0.037,102.6,-2.6,-0.026
gap creation,37,2.469,1.05,2.5,1.45,1.419,0.031,97.9,2.1,0.021
gap creation,38,2.944,1.05,2.5,1.45,1.894,-0.444,130.6,-30.6,-0.306
gap creation,39,2.209,1.05,2.5,1.45,1.159,0.291,79.9,20.1,0.201
gap creation,40,2.218,1.05,2.5,1.45,1.168,0.282,80.6,19.4,0.194
gap creation,41,2.317,1.05,2.5,1.45,1.267,0.183,87.4,12.6,0.126
gap creation,42,2.213,1.05,2.5,1.45,1.163,0.287,80.2,19.8,0.198
gap creation,43,1.948,1.05,2.5,1.45,0.898,0.552,61.9,38.1,0.381
gap creation,44,1.568,1.05,2.5,1.45,0.518,0.932,35.7,64.3,0.357
gap creation,45,2.309,1.05,2.5,1.45,1.259,0.191,86.8,13.2,0.132
gap creation,46,1.853,1.05,2.5,1.45,0.803,0.647,55.4,44.6,0.446
gap creation,47,1.46,1.05,2.5,1.45,0.41,1.04,28.3,71.7,0.283
gap creation,48,2.358,1.05,2.5,1.45,1.308,0.142,90.2,9.8,0.098
gap creation,49,1.986,1.05,2.5,1.45,0.936,0.514,64.6,35.4,0.354
gap creation,50,1.697,1.05,2.5,1.45,0.647,0.803,44.6,55.4,0.446
gap creation,51,2.439,1.05,2.5,1.45,1.389,0.061,95.8,4.2,0.042
gap creation,52,1.395,1.05,2.5,1.45,0.345,1.105,23.8,76.2,0.238
gap creation,53,2.101,1.05,2.5,1.45,1.051,0.399,72.5,27.5,0.275
gap creation,54,1.947,1.05,2.5,1.45,0.897,0.553,61.9,38.1,0.381
gap creation,55,1.717,1.05,2.5,1.45,0.667,0.783,46,54,0.46
gap creation,56,1.804,1.05,2.5,1.45,0.754,0.696,52,48,0.48
gap creation,57,2.21,1.05,2.5,1.45,1.16,0.29,80,20,0.2
gap creation,58,2.095,1.05,2.5,1.45,1.045,0.405,72.1,27.9,0.279
gap creation,59,1.942,1.05,2.5,1.45,0.892,0.558,61.5,38.5,0.385
gap creation,60,1.525,1.05,2.5,1.45,0.475,0.975,32.8,67.2,0.328
gap creation,61,2.174,1.05,2.5,1.45,1.124,0.326,77.5,22.5,0.225
gap creation,62,2.198,1.05,2.5,1.45,1.148,0.302,79.2,20.8,0.208
gap creation,63,1.907,1.05,2.5,1.45,0.857,0.593,59.1,40.9,0.409
gap creation,64,2.207,1.05,2.5,1.45,1.157,0.293,79.8,20.2,0.202
gap creation,65,2.355,1.05,2.5,1.45,1.305,0.145,90,10,0.1
gap creation,66,2.268,1.05,2.5,1.45,1.218,0.232,84,16,0.16
gap creation,67,1.831,1.05,2.5,1.45,0.781,0.669,53.9,46.1,0.461
gap creation,68,2.047,1.05,2.5,1.45,0.997,0.453,68.8,31.2,0.312
gap creation,69,1.623,1.05,2.5,1.45,0.573,0.877,39.5,60.5,0.395
gap creation,70,1.681,1.05,2.5,1.45,0.631,0.819,43.5,56.5,0.435
gap creation,71,1.942,1.05,2.5,1.45,0.892,0.558,61.5,38.5,0.385
gap creation,72,2.385,1.05,2.5,1.45,1.335,0.115,92.1,7.9,0.079
gap creation,73,1.846,1.05,2.5,1.45,0.796,0.654,54.9,45.1,0.451
gap creation,74,2.075,1.05,2.5,1.45,1.025,0.425,70.7,29.3,0.293
gap creation,75,1.766,1.05,2.5,1.45,0.716,0.734,49.4,50.6,0.494
gap creation,76,1.71,1.05,2.5,1.45,0.66,0.79,45.5,54.5,0.455
gap creation,77,1.427,1.05,2.5,1.45,0.377,1.073,26,74,0.26
gap creation,78,1.778,1.05,2.5,1.45,0.728,0.722,50.2,49.8,0.498
gap creation,79,2.145,1.05,2.5,1.45,1.095,0.355,75.5,24.5,0.245
gap creation,80,1.629,1.05,2.5,1.45,0.579,0.871,39.9,60.1,0.399
gap creation,81,2.32,1.05,2.5,1.45,1.27,0.18,87.6,12.4,0.124
gap creation,82,2.239,1.05,2.5,1.45,1.189,0.261,82,18,0.18
gap creation,83,2.359,1.05,2.5,1.45,1.309,0.141,90.3,9.7,0.097
gap creation,84,1.82,1.05,2.5,1.45,0.77,0.68,53.1,46.9,0.469
gap creation,85,1.675,1.05,2.5,1.45,0.625,0.825,43.1,56.9,0.431
gap creation,86,1.615,1.05,2.5,1.45,0.565,0.885,39,61,0.39
gap creation,87,1.545,1.05,2.5,1.45,0.495,0.955,34.1,65.9,0.341
gap creation,88,2.324,1.05,2.5,1.45,1.274,0.176,87.9,12.1,0.121
